type,properties/cp,properties/la_name,properties/road,properties/rcat,properties/easting,properties/northing,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,6000,Barnet,M1,TM,522170,189100,Point,-0.237934843298487,51.58746727011841
Feature,6001,Barnet,M1,TM,520150,194300,Point,-0.265297366005472,51.634635518582314
Feature,6013,Hillingdon,M4,TM,508900,178400,Point,-0.432708003720721,51.49401210273761
Feature,6071,Tower Hamlets,A12,PU,538180,181800,Point,-0.009843969753374,51.5181730012631
Feature,6075,Islington,A1,PU,530600,185870,Point,-0.117519252235202,51.556551069265495
Feature,6076,Barnet,A1,PU,524500,189330,Point,-0.204238290517409,51.58902472645058
Feature,6077,Barnet,A1,PR,520760,195000,Point,-0.256246187800968,51.64079609635426
Feature,6094,Southwark,A2,PU,532700,179360,Point,-0.089695602453968,51.49755859222755
Feature,6095,Lewisham,A2,PU,537000,177000,Point,-0.028702482653391,51.475325857936234
Feature,6096,Greenwich,A2,PU,540600,177000,Point,0.023100739754968,51.4744432962288
Feature,6097,Bexley,A2,PR,550000,174100,Point,0.157122723999732,51.44597355391603
Feature,6107,Southwark,A3,PU,532300,179600,Point,-0.09536475838564,51.49980908057408
Feature,6108,Lambeth,A3,PU,531400,178000,Point,-0.108918648895422,51.48564004413941
Feature,6109,Wandsworth,A3,PU,528400,175200,Point,-0.15311847364103,51.46116497222038
Feature,6111,Wandsworth,A3,PU,525000,174600,Point,-0.202246378899866,51.456533077566256
Feature,6119,Westminster,A4,PU,531060,181090,Point,-0.112665635724064,51.51348800029866
Feature,6120,Westminster,A4,PU,528900,180220,Point,-0.144094116154915,51.50616594690602
Feature,6121,Kensington and Chelsea,A4,PU,526000,178870,Point,-0.186339110673542,51.49468683642252
Feature,6122,Hounslow,A4,PU,519200,178420,Point,-0.284398541429277,51.492115886480335
Feature,6123,Hounslow,A4,PU,511000,176600,Point,-0.403035479713761,51.47742534584321
Feature,6150,Barnet,A5,PU,519000,191950,Point,-0.282704018681451,51.61375934550968
Feature,6151,Brent,A5,PU,522850,186950,Point,-0.228875782680082,51.56799700683007
Feature,6152,Westminster,A5,PU,527500,181240,Point,-0.163886885306717,51.51565005031762
